Exchange Date,Close,Net,%Chg,Open
12-Aug-2021,"4,460.8319",+13.1283,+0.2952%,"4,460.8319"
11-Aug-2021,"4,447.7036",+10.9507,+0.2468%,"4,447.7036"
10-Aug-2021,"4,436.7529",+4.3999,+0.0993%,"4,436.7529"
09-Aug-2021,"4,432.3530",-4.1648,-0.0939%,"4,432.3530"
06-Aug-2021,"4,436.5178",+7.4148,+0.1674%,"4,436.5178"
05-Aug-2021,"4,429.1030",+26.4420,+0.6006%,"4,429.1030"
04-Aug-2021,"4,402.6610",-20.4926,-0.4633%,"4,402.6610"
03-Aug-2021,"4,423.1536",+35.9977,+0.8205%,"4,423.1536"
02-Aug-2021,"4,387.1559",-8.1081,-0.1845%,"4,387.1559"
30-Jul-2021,"4,395.2640",-23.8848,-0.5405%,"4,395.2640"
29-Jul-2021,"4,419.1488",+18.5133,+0.4207%,"4,419.1488"
28-Jul-2021,"4,400.6355",-0.8276,-0.0188%,"4,400.6355"
27-Jul-2021,"4,401.4631",-20.8404,-0.4713%,"4,401.4631"
26-Jul-2021,"4,422.3035",+10.5111,+0.2383%,"4,422.3035"
23-Jul-2021,"4,411.7924",+44.3173,+1.0147%,"4,411.7924"
22-Jul-2021,"4,367.4751",+8.7818,+0.2015%,"4,367.4751"
21-Jul-2021,"4,358.6933",+35.6347,+0.8243%,"4,358.6933"
20-Jul-2021,"4,323.0586",+64.5660,+1.5162%,"4,323.0586"
19-Jul-2021,"4,258.4926",-68.6656,-1.5869%,"4,258.4926"
16-Jul-2021,"4,327.1582",-32.8685,-0.7539%,"4,327.1582"
15-Jul-2021,"4,360.0267",-14.2699,-0.3262%,"4,360.0267"
14-Jul-2021,"4,374.2966",+5.0868,+0.1164%,"4,374.2966"
13-Jul-2021,"4,369.2098",-15.4159,-0.3516%,"4,369.2098"
12-Jul-2021,"4,384.6257",+15.0747,+0.3450%,"4,384.6257"
09-Jul-2021,"4,369.5510",+48.7334,+1.1279%,"4,369.5510"
08-Jul-2021,"4,320.8176",-37.3156,-0.8562%,"4,320.8176"
07-Jul-2021,"4,358.1332",+14.5901,+0.3359%,"4,358.1332"
06-Jul-2021,"4,343.5431",-8.7958,-0.2021%,"4,343.5431"
02-Jul-2021,"4,352.3389",+32.3988,+0.7500%,"4,352.3389"
01-Jul-2021,"4,319.9401",+22.4435,+0.5222%,"4,319.9401"
30-Jun-2021,"4,297.4966",+5.6949,+0.1327%,"4,297.4966"
29-Jun-2021,"4,291.8017",+1.1939,+0.0278%,"4,291.8017"
28-Jun-2021,"4,290.6078",+9.9054,+0.2314%,"4,290.6078"
25-Jun-2021,"4,280.7024",+14.2166,+0.3332%,"4,280.7024"
24-Jun-2021,"4,266.4858",+24.6498,+0.5811%,"4,266.4858"
23-Jun-2021,"4,241.8360",-4.5990,-0.1083%,"4,241.8360"
22-Jun-2021,"4,246.4350",+21.6472,+0.5124%,"4,246.4350"
21-Jun-2021,"4,224.7878",+58.3346,+1.4001%,"4,224.7878"
18-Jun-2021,"4,166.4532",-55.4051,-1.3123%,"4,166.4532"
17-Jun-2021,"4,221.8583",-1.8459,-0.0437%,"4,221.8583"
16-Jun-2021,"4,223.7042",-22.8898,-0.5390%,"4,223.7042"
15-Jun-2021,"4,246.5940",-8.5563,-0.2011%,"4,246.5940"
14-Jun-2021,"4,255.1503",+7.7105,+0.1815%,"4,255.1503"
11-Jun-2021,"4,247.4398",+8.2556,+0.1947%,"4,247.4398"
10-Jun-2021,"4,239.1842",+19.6374,+0.4654%,"4,239.1842"
09-Jun-2021,"4,219.5468",-7.7082,-0.1823%,"4,219.5468"
08-Jun-2021,"4,227.2550",+0.7348,+0.0174%,"4,227.2550"
07-Jun-2021,"4,226.5202",-3.3704,-0.0797%,"4,226.5202"
04-Jun-2021,"4,229.8906",+37.0358,+0.8833%,"4,229.8906"
03-Jun-2021,"4,192.8548",-15.2644,-0.3627%,"4,192.8548"
02-Jun-2021,"4,208.1192",+6.0776,+0.1446%,"4,208.1192"
01-Jun-2021,"4,202.0416",-2.0689,-0.0492%,"4,202.0416"
28-May-2021,"4,204.1105",+3.2347,+0.0770%,"4,204.1105"
27-May-2021,"4,200.8758",+4.8822,+0.1164%,"4,200.8758"
26-May-2021,"4,195.9936",+7.8595,+0.1877%,"4,195.9936"
25-May-2021,"4,188.1341",-8.9132,-0.2124%,"4,188.1341"
24-May-2021,"4,197.0473",+41.1895,+0.9911%,"4,197.0473"
21-May-2021,"4,155.8578",-3.2666,-0.0785%,"4,155.8578"
20-May-2021,"4,159.1244",+43.4476,+1.0557%,"4,159.1244"
19-May-2021,"4,115.6768",-12.1530,-0.2944%,"4,115.6768"
18-May-2021,"4,127.8298",-35.4607,-0.8517%,"4,127.8298"
17-May-2021,"4,163.2905",-10.5636,-0.2531%,"4,163.2905"
14-May-2021,"4,173.8541",+61.3581,+1.4920%,"4,173.8541"
13-May-2021,"4,112.4960",+49.4581,+1.2173%,"4,112.4960"
12-May-2021,"4,063.0379",-89.0574,-2.1449%,"4,063.0379"
11-May-2021,"4,152.0953",-36.3320,-0.8674%,"4,152.0953"
10-May-2021,"4,188.4273",-44.1741,-1.0437%,"4,188.4273"
07-May-2021,"4,232.6014",+30.9826,+0.7374%,"4,232.6014"
06-May-2021,"4,201.6188",+34.0310,+0.8166%,"4,201.6188"
05-May-2021,"4,167.5878",+2.9288,+0.0703%,"4,167.5878"
04-May-2021,"4,164.6590",-27.9986,-0.6678%,"4,164.6590"
03-May-2021,"4,192.6576",+11.4827,+0.2746%,"4,192.6576"
30-Apr-2021,"4,181.1749",-30.3000,-0.7195%,"4,181.1749"
29-Apr-2021,"4,211.4749",+28.2919,+0.6763%,"4,211.4749"
28-Apr-2021,"4,183.1830",-3.5352,-0.0844%,"4,183.1830"
27-Apr-2021,"4,186.7182",-0.8993,-0.0215%,"4,186.7182"
26-Apr-2021,"4,187.6175",+7.4501,+0.1782%,"4,187.6175"
23-Apr-2021,"4,180.1674",+45.1857,+1.0928%,"4,180.1674"
22-Apr-2021,"4,134.9817",-38.4399,-0.9211%,"4,134.9817"
21-Apr-2021,"4,173.4216",+38.4822,+0.9307%,"4,173.4216"
20-Apr-2021,"4,134.9394",-28.3187,-0.6802%,"4,134.9394"
19-Apr-2021,"4,163.2581",-22.2106,-0.5307%,"4,163.2581"
16-Apr-2021,"4,185.4687",+15.0459,+0.3608%,"4,185.4687"
15-Apr-2021,"4,170.4228",+45.7622,+1.1095%,"4,170.4228"
14-Apr-2021,"4,124.6606",-16.9332,-0.4089%,"4,124.6606"
13-Apr-2021,"4,141.5938",+13.6006,+0.3295%,"4,141.5938"
12-Apr-2021,"4,127.9932",-0.8089,-0.0196%,"4,127.9932"
09-Apr-2021,"4,128.8021",+31.6341,+0.7721%,"4,128.8021"
08-Apr-2021,"4,097.1680",+17.2151,+0.4219%,"4,097.1680"
07-Apr-2021,"4,079.9529",+6.0122,+0.1476%,"4,079.9529"
06-Apr-2021,"4,073.9407",-3.9730,-0.0974%,"4,073.9407"
05-Apr-2021,"4,077.9137",+58.0483,+1.4440%,"4,077.9137"
01-Apr-2021,"4,019.8654",+46.9732,+1.1823%,"4,019.8654"
31-Mar-2021,"3,972.8922",+14.3399,+0.3623%,"3,972.8922"
30-Mar-2021,"3,958.5523",-12.5424,-0.3158%,"3,958.5523"
29-Mar-2021,"3,971.0947",-3.4422,-0.0866%,"3,971.0947"
26-Mar-2021,"3,974.5369",+65.0214,+1.6632%,"3,974.5369"
25-Mar-2021,"3,909.5155",+20.3735,+0.5239%,"3,909.5155"
24-Mar-2021,"3,889.1420",-21.3738,-0.5466%,"3,889.1420"
23-Mar-2021,"3,910.5158",-30.0694,-0.7631%,"3,910.5158"
22-Mar-2021,"3,940.5852",+27.4860,+0.7024%,"3,940.5852"
19-Mar-2021,"3,913.0992",-2.3621,-0.0603%,"3,913.0992"
18-Mar-2021,"3,915.4613",-58.6550,-1.4759%,"3,915.4613"
17-Mar-2021,"3,974.1163",+11.4088,+0.2879%,"3,974.1163"
16-Mar-2021,"3,962.7075",-6.2297,-0.1570%,"3,962.7075"
15-Mar-2021,"3,968.9372",+25.5944,+0.6491%,"3,968.9372"
12-Mar-2021,"3,943.3428",+4.0044,+0.1017%,"3,943.3428"
11-Mar-2021,"3,939.3384",+40.5333,+1.0396%,"3,939.3384"
10-Mar-2021,"3,898.8051",+23.3626,+0.6028%,"3,898.8051"
09-Mar-2021,"3,875.4425",+54.0958,+1.4156%,"3,875.4425"
08-Mar-2021,"3,821.3467",-20.5947,-0.5360%,"3,821.3467"
05-Mar-2021,"3,841.9414",+73.4677,+1.9495%,"3,841.9414"
04-Mar-2021,"3,768.4737",-51.2428,-1.3415%,"3,768.4737"
03-Mar-2021,"3,819.7165",-50.5773,-1.3068%,"3,819.7165"
02-Mar-2021,"3,870.2938",-31.5218,-0.8079%,"3,870.2938"
01-Mar-2021,"3,901.8156",+90.6659,+2.3790%,"3,901.8156"
26-Feb-2021,"3,811.1497",-18.1864,-0.4749%,"3,811.1497"
25-Feb-2021,"3,829.3361",-96.0915,-2.4479%,"3,829.3361"
24-Feb-2021,"3,925.4276",+44.0587,+1.1351%,"3,925.4276"
23-Feb-2021,"3,881.3689",+4.8690,+0.1256%,"3,881.3689"
22-Feb-2021,"3,876.4999",-30.2079,-0.7732%,"3,876.4999"
19-Feb-2021,"3,906.7078",-7.2635,-0.1856%,"3,906.7078"
18-Feb-2021,"3,913.9713",-17.3592,-0.4416%,"3,913.9713"
17-Feb-2021,"3,931.3305",-1.2588,-0.0320%,"3,931.3305"
16-Feb-2021,"3,932.5893",-2.2444,-0.0570%,"3,932.5893"
